ho,dl,err,gt,got
mediation,P(Y=1 | X=1),1.1102230246251565e-16,0.5133702415647927,0.5133702415647926
mediation,P(Y=1 | X=0),5.551115123125783e-17,0.4218874364506764,0.42188743645067645
mediation,P(X=1),3.3306690738754696e-16,0.7887065011221105,0.7887065011221108
mediation,P(V2=1),2.7755575615628914e-16,0.3422119987465367,0.3422119987465364
mediation,P(Y=1),6.064793379084721e-05,0.49410116751885785,0.494040519585067
mediation,ATE(Y | X),0.0,0.09148280511411633,0.09148280511411633
mediation,ETT(Y | X),0.0,0.09148280511411633,0.09148280511411633
mediation,NDE(Y | X),2.220446049250313e-16,0.32238166444019534,0.32238166444019556
mediation,NIE(Y | X),2.220446049250313e-16,-0.2305349321780112,-0.2305349321780114
mediation,P(Y=1 | X=1),1.1102230246251565e-16,0.7558296499963933,0.7558296499963935
mediation,P(Y=1 | X=0),1.1102230246251565e-16,0.2607606098430692,0.2607606098430691
mediation,P(X=1),5.551115123125783e-16,0.771884206668314,0.7718842066683146
mediation,P(V2=1),1.1102230246251565e-16,0.5889367621859679,0.588936762185968
mediation,P(Y=1),7.063402738149982e-05,0.6429672171752433,0.6428965831478618
mediation,ATE(Y | X),2.7755575615628914e-16,0.49506904015332415,0.4950690401533244
mediation,ETT(Y | X),2.7755575615628914e-16,0.49506904015332415,0.4950690401533244
mediation,NDE(Y | X),1.6653345369377348e-16,0.41485966004674407,0.41485966004674424
mediation,NIE(Y | X),0.0,0.08061052979587302,0.08061052979587302
mediation,P(Y=1 | X=1),1.1102230246251565e-16,0.6363173655473594,0.6363173655473593
mediation,P(Y=1 | X=0),1.1102230246251565e-16,0.5039943636404349,0.5039943636404348
mediation,P(X=1),3.3306690738754696e-16,0.7569610823939951,0.7569610823939954
mediation,P(V2=1),2.220446049250313e-16,0.3780972564772811,0.3780972564772809
mediation,P(Y=1),8.69578873410326e-05,0.6040707685021821,0.6041577263895231
mediation,ATE(Y | X),1.1102230246251565e-16,0.13232300190692448,0.13232300190692436
