lexicon,group,cond,route,gold,reference,harm_pp,ci_lo,ci_hi,p_boot,p_min_seeds,p_max_seeds,n_draws,n_items
KEEP,estimand kept,all,all,all,ORACLE,1.23,-2.16,4.94,0.5235,0.508,0.531,108,108
KEEP,estimand kept,all,all,all,RAW,5.86,1.85,10.19,0.006,0.0035,0.006,108,108
KEEP,estimand kept,DR_k1,all,all,ORACLE,1.23,-2.16,4.94,0.5235,0.508,0.531,108,108
KEEP,estimand kept,DR_k1,all,all,RAW,5.86,1.85,10.19,0.006,0.0035,0.006,108,108
KEEP,estimand kept,all,backdoor,all,ORACLE,1.23,-2.16,4.94,0.5235,0.508,0.531,108,108
KEEP,estimand kept,all,backdoor,all,RAW,5.86,1.85,10.19,0.006,0.0035,0.006,108,108
KEEP,estimand kept,all,backdoor,yes,ORACLE,2.61,-4.58,9.8,0.482,0.482,0.5085,51,51
KEEP,estimand kept,all,backdoor,yes,RAW,9.8,2.29,17.97,0.0055,0.0055,0.008,51,51
KEEP,estimand kept,all,backdoor,no,ORACLE,0.0,-2.34,2.34,1.0,1.0,1.0,57,57
KEEP,estimand kept,all,backdoor,no,RAW,2.34,-1.17,6.43,0.283,0.2715,0.3015,57,57
KEEP,estimand kept,all,all,yes,ORACLE,2.61,-4.58,9.8,0.482,0.482,0.5085,51,51
KEEP,estimand kept,all,all,yes,RAW,9.8,2.29,17.97,0.0055,0.0055,0.008,51,51
KEEP,estimand kept,all,all,no,ORACLE,0.0,-2.34,2.34,1.0,1.0,1.0,57,57
KEEP,estimand kept,all,all,no,RAW,2.34,-1.17,6.43,0.283,0.2715,0.3015,57,57
KEEP,"estimand changed, answer kept",all,all,all,ORACLE,0.1,-1.65,2.0,0.9325,0.9245,0.9505,817,400
KEEP,"estimand changed, answer kept",all,all,all,RAW,2.47,0.16,4.81,0.0395,0.032,0.0435,817,400
KEEP,"estimand changed, answer kept",DR_k1,all,all,ORACLE,-1.15,-3.63,1.4,0.367,0.367,0.408,262,262
KEEP,"estimand changed, answer kept",DR_k1,all,all,RAW,1.02,-2.16,4.26,0.5375,0.5375,0.565,262,262
KEEP,"estimand changed, answer kept",DR_k2,all,all,ORACLE,-0.82,-3.59,1.91,0.561,0.5515,0.565,306,306
KEEP,"estimand changed, answer kept",DR_k2,all,all,RAW,0.65,-2.34,3.76,0.666,0.666,0.692,306,306
KEEP,"estimand changed, answer kept",DR_k3,all,all,ORACLE,2.54,-0.27,5.29,0.072,0.072,0.0845,249,249
KEEP,"estimand changed, answer kept",DR_k3,all,all,RAW,6.22,3.21,9.37,0.0005,0.0005,0.0005,249,249
KEEP,"estimand changed, answer kept",all,no path,all,ORACLE,1.8,-0.53,4.11,0.123,0.123,0.14,473,255
KEEP,"estimand changed, answer kept",all,no path,all,RAW,4.4,1.71,7.2,0.0005,0.0005,0.0025,473,255
KEEP,"estimand changed, answer kept",all,no path,no,ORACLE,1.8,-0.53,4.11,0.123,0.123,0.14,473,255
KEEP,"estimand changed, answer kept",all,no path,no,RAW,4.4,1.71,7.2,0.0005,0.0005,0.0025,473,255
KEEP,"estimand changed, answer kept",all,backdoor,all,ORACLE,-2.23,-4.89,0.48,0.1065,0.094,0.107,344,246
KEEP,"estimand changed, answer kept",all,backdoor,all,RAW,-0.19,-3.81,3.57,0.9155,0.8965,0.9155,344,246
KEEP,"estimand changed, answer kept",all,backdoor,yes,ORACLE,-2.03,-6.24,2.25,0.333,0.329,0.361,189,132
KEEP,"estimand changed, answer kept",all,backdoor,yes,RAW,3.0,-3.37,9.18,0.351,0.3175,0.3595,189,132
KEEP,"estimand changed, answer kept",all,backdoor,no,ORACLE,-2.47,-5.66,0.57,0.116,0.116,0.13,155,114
KEEP,"estimand changed, answer kept",all,backdoor,no,RAW,-4.09,-7.79,-0.43,0.03,0.027,0.037,155,114
KEEP,"estimand changed, answer kept",all,all,yes,ORACLE,-2.03,-6.24,2.25,0.333,0.329,0.361,189,132
KEEP,"estimand changed, answer kept",all,all,yes,RAW,3.0,-3.37,9.18,0.351,0.3175,0.3595,189,132
KEEP,"estimand changed, answer kept",all,all,no,ORACLE,0.74,-1.29,2.72,0.482,0.448,0.495,628,268
KEEP,"estimand changed, answer kept",all,all,no,RAW,2.31,0.0,4.85,0.05,0.05,0.07,628,268
KEEP,answer changed,all,all,all,ORACLE,-24.62,-28.58,-20.6,0.0005,0.0005,0.0005,572,303
KEEP,answer changed,all,all,all,RAW,-26.81,-31.65,-22.14,0.0005,0.0005,0.0005,572,303
KEEP,answer changed,DR_k1,all,all,ORACLE,-18.67,-24.47,-12.66,0.0005,0.0005,0.0005,158,158
KEEP,answer changed,DR_k1,all,all,RAW,-22.47,-28.8,-16.35,0.0005,0.0005,0.0005,158,158
KEEP,answer changed,DR_k2,all,all,ORACLE,-27.0,-32.1,-21.98,0.0005,0.0005,0.0005,229,229
KEEP,answer changed,DR_k2,all,all,RAW,-26.71,-32.53,-21.11,0.0005,0.0005,0.0005,229,229
KEEP,answer changed,DR_k3,all,all,ORACLE,-26.76,-32.34,-20.99,0.0005,0.0005,0.0005,185,185
KEEP,answer changed,DR_k3,all,all,RAW,-30.63,-37.21,-23.96,0.0005,0.0005,0.0005,185,185
KEEP,answer changed,all,no path,all,ORACLE,-30.45,-34.93,-25.98,0.0005,0.0005,0.0005,457,258
KEEP,answer changed,all,no path,all,RAW,-31.95,-37.33,-26.52,0.0005,0.0005,0.0005,457,258
KEEP,answer changed,all,no path,yes,ORACLE,-30.45,-34.93,-25.98,0.0005,0.0005,0.0005,457,258
KEEP,answer changed,all,no path,yes,RAW,-31.95,-37.33,-26.52,0.0005,0.0005,0.0005,457,258
KEEP,answer changed,all,backdoor,all,ORACLE,-1.45,-7.0,4.24,0.639,0.613,0.657,115,91
KEEP,answer changed,all,backdoor,all,RAW,-6.38,-12.75,0.29,0.0595,0.0535,0.0595,115,91
KEEP,answer changed,all,backdoor,yes,ORACLE,-6.21,-16.13,3.51,0.226,0.205,0.2295,59,47
KEEP,answer changed,all,backdoor,yes,RAW,-17.51,-26.11,-8.93,0.0005,0.0005,0.0005,59,47
KEEP,answer changed,all,backdoor,no,ORACLE,3.57,-1.21,9.26,0.19,0.19,0.219,56,44
KEEP,answer changed,all,backdoor,no,RAW,5.36,-1.85,13.69,0.162,0.162,0.186,56,44
KEEP,answer changed,all,all,yes,ORACLE,-27.68,-32.21,-23.13,0.0005,0.0005,0.0005,516,259
KEEP,answer changed,all,all,yes,RAW,-30.3,-35.41,-25.1,0.0005,0.0005,0.0005,516,259
KEEP,answer changed,all,all,no,ORACLE,3.57,-1.21,9.26,0.19,0.19,0.219,56,44
KEEP,answer changed,all,all,no,RAW,5.36,-1.85,13.69,0.162,0.162,0.186,56,44
PSEUDO,estimand kept,all,all,all,ORACLE,0.47,-4.36,5.14,0.8415,0.83,0.851,107,107
PSEUDO,estimand kept,all,all,all,RAW,-1.25,-8.72,6.39,0.753,0.7405,0.7565,107,107
PSEUDO,estimand kept,DR_k1,all,all,ORACLE,0.47,-4.36,5.14,0.8415,0.83,0.851,107,107
PSEUDO,estimand kept,DR_k1,all,all,RAW,-1.25,-8.72,6.39,0.753,0.7405,0.7565,107,107
PSEUDO,estimand kept,all,backdoor,all,ORACLE,0.47,-4.36,5.14,0.8415,0.83,0.851,107,107
PSEUDO,estimand kept,all,backdoor,all,RAW,-1.25,-8.72,6.39,0.753,0.7405,0.7565,107,107
