family,lexicon,cond,accuracy_pct,parse_pct,n_models,n_rows
gpt,KEEP,RAW,79.04,97.38,3,1452
gpt,KEEP,ORACLE,81.38,95.39,3,1452
gpt,KEEP,DR_k1,76.17,94.83,3,1452
gpt,KEEP,DR_k2,70.49,95.04,3,1452
gpt,KEEP,DR_k3,70.0,92.51,3,1068
gpt,PSEUDO,RAW,65.26,97.93,3,1452
gpt,PSEUDO,ORACLE,70.09,97.04,3,1452
gpt,PSEUDO,DR_k1,67.44,95.73,3,1452
gpt,PSEUDO,DR_k2,63.0,97.04,3,1452
gpt,PSEUDO,DR_k3,60.06,94.85,3,1068
gpt,PERMUTE,RAW,63.81,97.31,3,1452
gpt,IRRELEVANT,RAW,63.62,99.04,3,1452
gpt,SYMBOL,RAW,67.93,99.04,3,1452
luna,KEEP,RAW,82.44,100.0,1,484
luna,KEEP,ORACLE,84.5,100.0,1,484
luna,KEEP,DR_k1,66.94,100.0,1,484
luna,KEEP,DR_k2,59.3,100.0,1,484
luna,KEEP,DR_k3,57.02,100.0,1,356
luna,PSEUDO,RAW,69.01,100.0,1,484
luna,PSEUDO,ORACLE,71.07,100.0,1,484
luna,PSEUDO,DR_k1,63.22,100.0,1,484
luna,PSEUDO,DR_k2,59.3,100.0,1,484
luna,PSEUDO,DR_k3,52.81,100.0,1,356
luna,PERMUTE,RAW,66.94,100.0,1,484
luna,IRRELEVANT,RAW,62.4,100.0,1,484
luna,SYMBOL,RAW,69.42,100.0,1,484
