family,n_scm,max_dev_P(Y=1),max_dev_ATE,max_dev_ETT,max_dev_NDE,max_dev_NIE,PY_matches_naive_pct,ATE_matches_naive_pct,predicted_match
IV,880,0.169443,0.0,0.0,0.0,0.0,100.0,0.0,False
arrowhead,1008,0.24984,0.249163,0.249163,0.249163,0.249163,100.0,100.0,False
chain,624,0.0,0.0,0.0,0.0,0.0,100.0,100.0,True
collision,716,0.0,0.0,0.0,0.0,0.0,100.0,100.0,True
confounding,752,0.234137,0.0,0.0,0.0,0.0,100.0,0.0,False
diamond,624,0.109105,0.0,0.0,0.0,0.0,100.0,100.0,False
diamondcut,368,0.112469,0.0,0.0,0.0,0.0,100.0,0.0,False
fork,716,0.0,0.0,0.0,0.0,0.0,100.0,100.0,True
frontdoor,368,0.127132,0.0,0.0,0.0,0.0,100.0,0.0,False
mediation,1008,0.162417,0.0,0.0,0.0,0.0,100.0,100.0,False
