model,cond,KEEP,parse_KEEP,PERMUTE,parse_PERMUTE,SYMBOL,parse_SYMBOL,PSEUDO,parse_PSEUDO
gpt-4.1-nano,PROSE,72.83,99.4,63.29,90.8,66.67,94.8,74.7,95.4
gpt-4.1-nano,RAW,79.19,99.4,71.08,95.4,64.16,99.4,67.24,100.0
gpt-4.1-nano,ORACLE,74.25,96.0,61.88,92.0,68.45,96.6,68.86,96.0
gpt-4.1-nano,DR_k1,72.35,97.7,62.35,93.1,64.5,97.1,71.01,97.1
gpt-4.1-mini,PROSE,84.8,98.3,75.74,97.1,77.98,96.6,82.08,99.4
gpt-4.1-mini,RAW,77.91,98.9,64.91,98.3,70.52,99.4,64.37,100.0
gpt-4.1-mini,ORACLE,84.8,98.3,83.64,94.8,82.35,97.7,81.98,98.9
gpt-4.1-mini,DR_k1,77.78,98.3,72.02,96.6,67.25,98.3,67.26,96.6
gpt-4.1,PROSE,81.4,98.9,77.59,100.0,80.81,98.9,70.52,99.4
gpt-4.1,RAW,75.58,98.9,65.5,98.3,67.24,100.0,66.28,98.9
gpt-4.1,ORACLE,87.13,98.3,78.61,99.4,78.95,98.3,79.77,99.4
gpt-4.1,DR_k1,76.44,100.0,69.01,98.3,68.21,99.4,65.12,98.9
