cond,n_compared,mean_delta_pp,n_sig,n_models
DR_k1,PERMUTE - KEEP,-6.88,0,3
DR_k1,PSEUDO - KEEP,-7.69,2,3
DR_k1,PSEUDO - SYMBOL,0.65,0,3
DR_k1,SYMBOL - KEEP,-8.26,2,3
DR_k1,SYMBOL - PERMUTE,-1.38,0,3
ORACLE,PERMUTE - KEEP,-6.61,2,3
ORACLE,PSEUDO - KEEP,-5.0,0,3
ORACLE,PSEUDO - SYMBOL,-0.01,0,3
ORACLE,SYMBOL - KEEP,-5.41,1,3
ORACLE,SYMBOL - PERMUTE,1.9,0,3
PROSE,PERMUTE - KEEP,-6.72,1,3
PROSE,PSEUDO - KEEP,-3.88,1,3
PROSE,PSEUDO - SYMBOL,1.05,2,3
PROSE,SYMBOL - KEEP,-4.24,0,3
PROSE,SYMBOL - PERMUTE,2.89,0,3
RAW,PERMUTE - KEEP,-9.89,2,3
RAW,PSEUDO - KEEP,-11.84,3,3
RAW,PSEUDO - SYMBOL,-1.16,0,3
RAW,SYMBOL - KEEP,-10.47,3,3
RAW,SYMBOL - PERMUTE,-0.49,0,3
