model,lexicon,RAW,ORACLE,DR_k1,delta_struct,price_one_reversed_edge
gpt-4.1-nano,KEEP,79.19,74.25,72.35,-4.94,1.9
gpt-4.1-nano,PERMUTE,71.08,61.88,62.35,-9.21,-0.47
gpt-4.1-nano,SYMBOL,64.16,68.45,64.5,4.29,3.96
gpt-4.1-nano,PSEUDO,67.24,68.86,71.01,1.62,-2.14
gpt-4.1-mini,KEEP,77.91,84.8,77.78,6.89,7.02
gpt-4.1-mini,PERMUTE,64.91,83.64,72.02,18.72,11.61
gpt-4.1-mini,SYMBOL,70.52,82.35,67.25,11.83,15.1
gpt-4.1-mini,PSEUDO,64.37,81.98,67.26,17.61,14.71
gpt-4.1,KEEP,75.58,87.13,76.44,11.55,10.7
gpt-4.1,PERMUTE,65.5,78.61,69.01,13.12,9.61
gpt-4.1,SYMBOL,67.24,78.95,68.21,11.71,10.74
gpt-4.1,PSEUDO,66.28,79.77,65.12,13.49,14.65
