item,lexicon,family,query_type,cond,arm,k,estimand_unchanged,touches_causal_path,unchanged_qt
0,KEEP,IV,correlation,DR_k1,DR,1,False,True,False
0,KEEP,IV,correlation,DR_k2,DR,2,False,True,False
0,KEEP,IV,correlation,DR_k3,DR,3,False,True,False
0,KEEP,IV,correlation,SCRAMBLE,SCRAMBLE,0,False,True,False
0,PSEUDO,IV,correlation,DR_k1,DR,1,False,True,False
0,PSEUDO,IV,correlation,DR_k2,DR,2,False,True,False
0,PSEUDO,IV,correlation,DR_k3,DR,3,False,True,False
0,PSEUDO,IV,correlation,SCRAMBLE,SCRAMBLE,0,False,True,False
1,KEEP,IV,correlation,DR_k1,DR,1,False,True,False
1,KEEP,IV,correlation,DR_k2,DR,2,False,True,False
1,KEEP,IV,correlation,DR_k3,DR,3,False,True,False
1,KEEP,IV,correlation,SCRAMBLE,SCRAMBLE,0,False,True,False
1,PSEUDO,IV,correlation,DR_k1,DR,1,False,True,False
1,PSEUDO,IV,correlation,DR_k2,DR,2,False,True,False
1,PSEUDO,IV,correlation,DR_k3,DR,3,False,True,False
1,PSEUDO,IV,correlation,SCRAMBLE,SCRAMBLE,0,False,True,False
2,KEEP,IV,marginal,DR_k1,DR,1,False,True,False
2,KEEP,IV,marginal,DR_k2,DR,2,False,True,False
2,KEEP,IV,marginal,DR_k3,DR,3,False,True,False
2,KEEP,IV,marginal,SCRAMBLE,SCRAMBLE,0,False,True,False
2,PSEUDO,IV,marginal,DR_k1,DR,1,False,True,False
2,PSEUDO,IV,marginal,DR_k2,DR,2,False,True,False
2,PSEUDO,IV,marginal,DR_k3,DR,3,False,True,False
2,PSEUDO,IV,marginal,SCRAMBLE,SCRAMBLE,0,False,True,False
3,KEEP,IV,marginal,DR_k1,DR,1,False,True,False
3,KEEP,IV,marginal,DR_k2,DR,2,False,True,False
3,KEEP,IV,marginal,DR_k3,DR,3,False,True,False
3,KEEP,IV,marginal,SCRAMBLE,SCRAMBLE,0,False,True,False
3,PSEUDO,IV,marginal,DR_k1,DR,1,False,True,False
3,PSEUDO,IV,marginal,DR_k2,DR,2,False,True,False
3,PSEUDO,IV,marginal,DR_k3,DR,3,False,True,False
3,PSEUDO,IV,marginal,SCRAMBLE,SCRAMBLE,0,False,True,False
4,KEEP,IV,marginal,DR_k1,DR,1,False,True,False
4,KEEP,IV,marginal,DR_k2,DR,2,False,True,False
4,KEEP,IV,marginal,DR_k3,DR,3,False,True,False
4,KEEP,IV,marginal,SCRAMBLE,SCRAMBLE,0,False,True,False
4,PSEUDO,IV,marginal,DR_k1,DR,1,False,True,False
4,PSEUDO,IV,marginal,DR_k2,DR,2,False,True,False
4,PSEUDO,IV,marginal,DR_k3,DR,3,False,True,False
4,PSEUDO,IV,marginal,SCRAMBLE,SCRAMBLE,0,False,True,False
5,KEEP,IV,marginal,DR_k1,DR,1,False,True,False
5,KEEP,IV,marginal,DR_k2,DR,2,False,True,False
5,KEEP,IV,marginal,DR_k3,DR,3,False,True,False
5,KEEP,IV,marginal,SCRAMBLE,SCRAMBLE,0,False,True,False
5,PSEUDO,IV,marginal,DR_k1,DR,1,False,True,False
5,PSEUDO,IV,marginal,DR_k2,DR,2,False,True,False
5,PSEUDO,IV,marginal,DR_k3,DR,3,False,True,False
5,PSEUDO,IV,marginal,SCRAMBLE,SCRAMBLE,0,False,True,False
6,KEEP,IV,marginal,DR_k1,DR,1,False,True,False
6,KEEP,IV,marginal,DR_k2,DR,2,False,True,False
6,KEEP,IV,marginal,DR_k3,DR,3,False,True,False
6,KEEP,IV,marginal,SCRAMBLE,SCRAMBLE,0,False,True,False
6,PSEUDO,IV,marginal,DR_k1,DR,1,False,True,False
6,PSEUDO,IV,marginal,DR_k2,DR,2,False,True,False
6,PSEUDO,IV,marginal,DR_k3,DR,3,False,True,False
6,PSEUDO,IV,marginal,SCRAMBLE,SCRAMBLE,0,False,True,False
7,KEEP,IV,correlation,DR_k1,DR,1,False,True,False
7,KEEP,IV,correlation,DR_k2,DR,2,False,True,False
7,KEEP,IV,correlation,DR_k3,DR,3,False,True,False
7,KEEP,IV,correlation,SCRAMBLE,SCRAMBLE,0,False,True,False
7,PSEUDO,IV,correlation,DR_k1,DR,1,False,True,False
7,PSEUDO,IV,correlation,DR_k2,DR,2,False,True,False
7,PSEUDO,IV,correlation,DR_k3,DR,3,False,True,False
7,PSEUDO,IV,correlation,SCRAMBLE,SCRAMBLE,0,False,True,False
8,KEEP,IV,correlation,DR_k1,DR,1,False,True,False
8,KEEP,IV,correlation,DR_k2,DR,2,False,True,False
