model,n_compared,n,b,c,p,meaning
gpt-4.1-nano,ORACLE vs RAW,147,18,19,1.0,
gpt-4.1-nano,DR_k1 vs RAW,147,18,25,0.3604,
gpt-4.1-nano,DR_k2 vs RAW,147,17,28,0.1352,
gpt-4.1-nano,DR_k3 vs RAW,147,14,23,0.1877,
gpt-4.1-nano,DR_k1 vs ORACLE,147,11,17,0.3449,
gpt-4.1-mini,ORACLE vs RAW,147,19,14,0.4869,
gpt-4.1-mini,DR_k1 vs RAW,147,9,17,0.1686,
gpt-4.1-mini,DR_k2 vs RAW,147,13,20,0.2962,
gpt-4.1-mini,DR_k3 vs RAW,147,11,20,0.1496,
gpt-4.1-mini,DR_k1 vs ORACLE,147,8,21,0.0241,*
gpt-4.1,ORACLE vs RAW,147,18,11,0.2649,
gpt-4.1,DR_k1 vs RAW,147,15,14,1.0,
gpt-4.1,DR_k2 vs RAW,147,11,18,0.2649,
gpt-4.1,DR_k3 vs RAW,147,9,16,0.2295,
gpt-4.1,DR_k1 vs ORACLE,147,10,16,0.3269,
