group,cond,n_sig_raw,n_sig_bh,n_cells,mean_harm_pp,worst_harm_pp
all pooled,RAW,8,8,9,-10.73,-15.12
all pooled,ORACLE,3,0,9,-5.67,-9.15
all pooled,PROSE,2,1,9,-4.95,-10.53
all pooled,DR_k1,4,4,9,-7.61,-11.63
genuinely causal,RAW,9,9,9,-17.92,-24.39
genuinely causal,ORACLE,0,0,9,-2.9,-8.54
genuinely causal,PROSE,1,0,9,-4.35,-15.0
genuinely causal,DR_k1,3,0,9,-8.17,-15.48
backadj identification,RAW,0,0,9,2.08,-21.88
backadj identification,ORACLE,0,0,9,-3.82,-18.75
backadj identification,PROSE,1,0,9,-3.82,-21.88
backadj identification,DR_k1,0,0,9,-3.82,-12.5
rung-1 so hoc,RAW,0,0,9,-7.31,-12.5
rung-1 so hoc,ORACLE,2,0,9,-10.75,-16.07
rung-1 so hoc,PROSE,0,0,9,-6.65,-15.56
rung-1 so hoc,DR_k1,2,0,9,-9.09,-14.81
all pooled (unparsed=wrong),RAW,9,9,9,-10.79,-14.94
all pooled (unparsed=wrong),ORACLE,2,1,9,-6.19,-14.37
genuinely causal (unparsed=wrong),RAW,9,9,9,-17.31,-25.58
genuinely causal (unparsed=wrong),ORACLE,0,0,9,-2.71,-8.14
