model,sample,lexicon,rows,parsed_pct,cut_off_by_cap,answer_from_reasoning,mean_out_tok,mean_reason_tok,providers,billed_usd,reasked,reasked_still_cut,reasked_usd
meta-llama/llama-3.3-70b-instruct,lex,KEEP,696,97.41,29,0,331.5,0.0,Novita,0.1074,29,1,0.0105
meta-llama/llama-3.3-70b-instruct,lex,PSEUDO,696,97.27,28,0,363.2,0.0,Novita,0.1166,28,0,0.0081
meta-llama/llama-3.3-70b-instruct,n600,KEEP,1168,97.52,47,0,308.6,0.0,Novita,0.1713,47,0,0.0141
meta-llama/llama-3.3-70b-instruct,n600,PSEUDO,1168,97.52,40,0,332.5,0.0,Novita,0.1833,40,0,0.0115
meta-llama/llama-3.3-70b-instruct,price400,KEEP,796,96.61,52,0,352.6,0.0,Novita,0.1319,52,0,0.0153
meta-llama/llama-3.3-70b-instruct,price400,PSEUDO,796,97.49,33,0,353.6,0.0,Novita,0.1329,33,0,0.009
deepseek/deepseek-r1,lex,PSEUDO,258,95.35,12,84,4398.7,3968.5,Novita,2.8668,12,0,0.2318
meta-llama/llama-3.3-70b-instruct,n600,PERMUTE,292,98.63,7,0,281.6,0.0,Novita,0.0386,7,0,0.0017
meta-llama/llama-3.3-70b-instruct,n600,IRRELEVANT,292,99.32,2,0,238.5,0.0,Novita,0.033,2,2,0.0006
meta-llama/llama-3.3-70b-instruct,n600,SYMBOL,292,97.95,7,0,246.9,0.0,Novita,0.034,7,5,0.0022
