model,dieu_kien,n,delta_pp,p,meaning
gpt-4.1-nano,ORACLE,371,3.93,0.2299,
gpt-4.1-nano,ED_k1,375,1.57,0.8358,
gpt-4.1-nano,ED_k2,375,-2.44,0.4841,
gpt-4.1-nano,ED_k3,371,-1.15,0.6817,
gpt-4.1-nano,FE_k1,260,0.29,0.708,
gpt-4.1-nano,FE_k2,203,-2.16,1.0,
gpt-4.1-nano,DR_k1,373,-3.91,0.1654,
gpt-4.1-nano,DR_k2,372,-2.47,0.3966,
gpt-4.1-nano,DR_k3,374,-0.15,0.9036,
gpt-4.1-mini,ORACLE,382,7.53,0.0021,*
gpt-4.1-mini,ED_k1,390,2.54,0.2604,
gpt-4.1-mini,ED_k2,390,0.92,0.731,
gpt-4.1-mini,ED_k3,386,-0.56,0.8939,
gpt-4.1-mini,FE_k1,273,0.6,0.6889,
gpt-4.1-mini,FE_k2,218,1.08,0.7798,
gpt-4.1-mini,DR_k1,370,-2.18,0.3203,
gpt-4.1-mini,DR_k2,382,-5.53,0.0399,*
gpt-4.1-mini,DR_k3,369,-7.62,0.0025,*
gpt-4.1,ORACLE,390,4.95,0.0396,*
gpt-4.1,ED_k1,388,2.03,0.7163,
gpt-4.1,ED_k2,393,-2.12,0.2723,
gpt-4.1,ED_k3,381,-2.17,0.3581,
gpt-4.1,FE_k1,281,0.26,0.4709,
gpt-4.1,FE_k2,223,1.41,0.6076,
gpt-4.1,DR_k1,392,-3.34,0.1147,
gpt-4.1,DR_k2,391,-6.44,0.0024,*
gpt-4.1,DR_k3,393,-7.64,0.0005,*
