error_type,family,n_edges,k,frac_edges_corrupted,loss_pp,ci_lo,ci_hi,n_items
DR,confounding,3,1,0.333,4.68,-0.58,10.53,57
DR,confounding,3,2,0.667,16.67,8.48,24.85,57
DR,confounding,3,3,1.0,13.45,4.68,22.81,57
DR,mediation,3,1,0.333,6.14,-2.05,14.33,57
DR,mediation,3,2,0.667,8.19,-0.58,16.96,57
DR,mediation,3,3,1.0,10.82,2.63,19.01,57
DR,IV,4,1,0.25,11.7,4.09,19.88,57
DR,IV,4,2,0.5,6.14,-2.63,14.91,57
DR,IV,4,3,0.75,6.73,-2.34,16.08,57
DR,diamond,4,1,0.25,7.6,1.75,14.04,57
DR,diamond,4,2,0.5,4.68,-2.34,12.87,57
DR,diamond,4,3,0.75,6.43,-1.46,14.91,57
DR,diamondcut,4,1,0.25,12.8,4.76,20.83,56
DR,diamondcut,4,2,0.5,9.52,2.08,16.67,56
DR,diamondcut,4,3,0.75,11.4,4.68,18.71,57
DR,frontdoor,4,1,0.25,6.55,0.3,13.1,56
DR,frontdoor,4,2,0.5,14.33,5.85,23.39,57
DR,frontdoor,4,3,0.75,15.79,4.68,27.19,57
DR,arrowhead,5,1,0.2,3.51,-1.75,9.94,57
DR,arrowhead,5,2,0.4,8.77,2.34,15.79,57
DR,arrowhead,5,3,0.6,7.89,1.17,15.5,57
ED,confounding,3,1,0.333,-2.34,-8.19,3.51,57
ED,confounding,3,2,0.667,10.82,1.75,19.59,57
ED,confounding,3,3,1.0,0.0,-7.31,7.6,57
ED,mediation,3,1,0.333,3.22,-1.75,7.89,57
ED,mediation,3,2,0.667,1.75,-6.43,9.36,57
ED,mediation,3,3,1.0,3.22,-4.09,9.36,57
ED,IV,4,1,0.25,6.14,-1.75,14.04,57
ED,IV,4,2,0.5,7.6,0.29,15.2,57
ED,IV,4,3,0.75,6.43,-4.09,16.96,57
ED,diamond,4,1,0.25,2.63,-2.05,7.31,57
ED,diamond,4,2,0.5,1.75,-2.34,6.43,57
ED,diamond,4,3,0.75,-1.17,-6.43,4.09,57
ED,diamondcut,4,1,0.25,10.12,1.49,19.05,56
ED,diamondcut,4,2,0.5,11.01,3.57,18.45,56
ED,diamondcut,4,3,0.75,17.25,10.53,24.56,57
ED,frontdoor,4,1,0.25,4.09,-3.22,11.7,57
ED,frontdoor,4,2,0.5,6.43,-1.75,15.2,57
ED,frontdoor,4,3,0.75,5.95,-2.98,15.19,56
ED,arrowhead,5,1,0.2,-0.29,-6.43,5.56,57
ED,arrowhead,5,2,0.4,2.92,-2.05,8.48,57
ED,arrowhead,5,3,0.6,11.4,5.56,17.54,57
FE,IV,4,1,0.25,2.92,-1.75,7.6,57
FE,IV,4,2,0.5,4.09,-2.63,10.53,57
FE,diamond,4,1,0.25,1.17,-1.75,4.68,57
FE,diamond,4,2,0.5,-0.58,-4.09,2.92,57
FE,diamondcut,4,1,0.25,9.65,2.05,16.96,57
FE,diamondcut,4,2,0.5,4.76,-3.27,12.81,56
FE,frontdoor,4,1,0.25,0.3,-6.97,7.88,55
FE,frontdoor,4,2,0.5,1.75,-4.68,8.77,57
FE,arrowhead,5,1,0.2,0.88,-2.63,4.09,57
