lexicon,cond,model,n_cells,acc_old,acc_new,drift_pp,ci_lo,ci_hi,p_boot,flip_pct
KEEP,DR_k1,gpt-4.1-nano,292,67.47,69.18,1.71,-3.08,6.85,0.523,21.2
KEEP,DR_k1,gpt-4.1-mini,292,70.55,72.6,2.05,-2.4,6.51,0.3885,15.4
KEEP,DR_k1,gpt-4.1,292,75.0,72.26,-2.74,-6.16,0.34,0.1185,10.6
KEEP,DR_k1,pooled,876,71.0,71.35,0.34,-2.06,2.85,0.7875,15.8
KEEP,ORACLE,gpt-4.1-nano,292,69.52,70.21,0.68,-4.45,6.16,0.86,24.3
KEEP,ORACLE,gpt-4.1-mini,292,79.79,77.05,-2.74,-7.19,1.37,0.2205,15.4
KEEP,ORACLE,gpt-4.1,292,80.14,81.85,1.71,-1.72,5.48,0.394,12.0
KEEP,ORACLE,pooled,876,76.48,76.37,-0.11,-2.74,2.51,0.949,17.2
KEEP,RAW,gpt-4.1-nano,292,72.6,72.26,-0.34,-4.79,4.45,0.9295,18.5
KEEP,RAW,gpt-4.1-mini,292,81.51,80.48,-1.03,-3.42,1.37,0.522,6.5
KEEP,RAW,gpt-4.1,292,81.16,80.14,-1.03,-3.42,1.03,0.4425,4.5
KEEP,RAW,pooled,876,78.42,77.63,-0.8,-2.74,1.14,0.422,9.8
PSEUDO,DR_k1,gpt-4.1-nano,292,65.07,64.04,-1.03,-6.51,4.45,0.7555,24.7
PSEUDO,DR_k1,gpt-4.1-mini,292,62.67,60.62,-2.05,-6.16,2.05,0.366,13.7
PSEUDO,DR_k1,gpt-4.1,292,63.7,62.67,-1.03,-4.79,2.74,0.6055,11.6
PSEUDO,DR_k1,pooled,876,63.81,62.44,-1.37,-4.22,1.37,0.3235,16.7
PSEUDO,ORACLE,gpt-4.1-nano,292,69.86,67.47,-2.4,-7.88,3.08,0.4005,25.0
PSEUDO,ORACLE,gpt-4.1-mini,292,72.26,74.66,2.4,-2.4,7.19,0.3795,19.9
PSEUDO,ORACLE,gpt-4.1,292,70.21,69.52,-0.68,-4.45,3.08,0.789,12.3
PSEUDO,ORACLE,pooled,876,70.78,70.55,-0.23,-3.08,2.63,0.8775,19.1
PSEUDO,RAW,gpt-4.1-nano,292,67.81,63.36,-4.45,-9.59,0.68,0.1015,20.5
PSEUDO,RAW,gpt-4.1-mini,292,65.07,65.75,0.68,-1.71,3.08,0.6575,4.5
PSEUDO,RAW,gpt-4.1,292,62.67,66.1,3.42,0.0,7.19,0.0735,9.6
PSEUDO,RAW,pooled,876,65.18,65.07,-0.11,-2.4,2.28,0.95,11.5
all,all,gpt-4.1-nano,1752,68.72,67.75,-0.97,-3.03,1.14,0.3755,22.4
all,all,gpt-4.1-mini,1752,71.97,71.86,-0.11,-1.6,1.31,0.8785,12.6
all,all,gpt-4.1,1752,72.15,72.09,-0.06,-1.26,1.09,0.953,10.1
all,all,pooled,5256,70.95,70.57,-0.38,-1.33,0.55,0.4485,15.0
