lexicon,cond,model,n_cells,acc_old,acc_new,drift_pp,ci_lo,ci_hi,p_boot,flip_pct
KEEP,RAW,gpt-4.1-nano,86,79.07,72.09,-6.98,-16.28,1.16,0.138,18.6
KEEP,RAW,gpt-4.1-mini,86,83.72,84.88,1.16,-4.65,6.98,0.839,9.3
KEEP,RAW,gpt-4.1,86,75.58,77.91,2.33,-3.49,8.14,0.59,11.6
KEEP,RAW,pooled,258,79.46,78.29,-1.16,-5.81,3.1,0.6195,13.2
PSEUDO,RAW,gpt-4.1-nano,86,63.95,63.95,0.0,-8.14,8.14,1.0,15.1
PSEUDO,RAW,gpt-4.1-mini,86,65.12,65.12,0.0,-5.81,6.98,1.0,9.3
PSEUDO,RAW,gpt-4.1,86,61.63,61.63,0.0,-6.98,6.98,1.0,10.5
PSEUDO,RAW,pooled,258,63.57,63.57,-0.0,-3.88,3.88,1.0,11.6
all,all,gpt-4.1-nano,172,71.51,68.02,-3.49,-9.3,1.74,0.251,16.9
all,all,gpt-4.1-mini,172,74.42,75.0,0.58,-3.49,4.65,0.911,9.3
all,all,gpt-4.1,172,68.6,69.77,1.16,-3.49,5.81,0.7195,11.0
all,all,pooled,516,71.51,70.93,-0.58,-3.68,2.33,0.7135,12.4
