lexicon,cond,model,n_cells,acc_old,acc_new,drift_pp,ci_lo,ci_hi,p_boot,flip_pct
KEEP,RAW,gpt-4.1-nano,199,63.82,65.83,2.01,-4.02,8.04,0.5875,24.1
KEEP,RAW,gpt-4.1-mini,199,79.9,80.4,0.5,-3.52,4.52,0.905,10.1
KEEP,RAW,gpt-4.1,199,80.4,77.39,-3.02,-6.03,-0.5,0.0345,6.0
KEEP,RAW,pooled,597,74.71,74.54,-0.17,-2.85,2.51,0.9185,13.4
PSEUDO,RAW,gpt-4.1-nano,199,65.83,58.29,-7.54,-14.07,-1.01,0.025,22.1
PSEUDO,RAW,gpt-4.1-mini,199,66.33,67.84,1.51,-1.01,4.02,0.3625,4.0
PSEUDO,RAW,gpt-4.1,199,64.82,64.82,0.0,-3.02,3.02,1.0,6.5
PSEUDO,RAW,pooled,597,65.66,63.65,-2.01,-4.69,0.67,0.1395,10.9
all,all,gpt-4.1-nano,398,64.82,62.06,-2.76,-7.04,1.51,0.2235,23.1
all,all,gpt-4.1-mini,398,73.12,74.12,1.01,-1.26,3.27,0.456,7.0
all,all,gpt-4.1,398,72.61,71.11,-1.51,-3.52,0.25,0.1415,6.3
all,all,pooled,1194,70.18,69.1,-1.09,-2.93,0.75,0.241,12.1
