slice,section,family,n_nodes,n_edges,arm,suspect_labels,estimate_pp,ci_lo,ci_hi,p_boot,n_items,survives_BH
"chain (3 nodes, 2 edges)",1,chain,3,2,ORACLE,False,0.0,-15.24,16.19,1.0255,35,False
"collision (3 nodes, 2 edges)",1,collision,3,2,ORACLE,False,10.84,1.19,21.95,0.045,29,False
"fork (3 nodes, 2 edges)",1,fork,3,2,ORACLE,False,6.14,-5.0,17.95,0.309,36,False
"confounding (3 nodes, 3 edges)",1,confounding,3,3,ORACLE,False,17.06,2.35,32.76,0.0235,59,False
"mediation (3 nodes, 3 edges)",1,mediation,3,3,ORACLE,False,-9.36,-23.12,2.98,0.164,61,False
"IV (4 nodes, 4 edges)",1,IV,4,4,ORACLE,False,11.48,1.45,21.72,0.029,44,False
"diamond (4 nodes, 4 edges)",1,diamond,4,4,ORACLE,False,4.5,-3.05,11.62,0.2625,66,False
"diamondcut (4 nodes, 4 edges)",1,diamondcut,4,4,ORACLE,False,5.48,-4.91,15.79,0.359,51,False
"frontdoor (4 nodes, 4 edges)",1,frontdoor,4,4,ORACLE,False,16.3,3.3,30.0,0.015,69,False
"arrowhead (4 nodes, 5 edges)",1,arrowhead,4,5,ORACLE,True,-4.05,-21.27,13.02,0.6775,40,False
"2 edges: chain, collision, for",2,chain+collision+fork,,2,ORACLE,False,5.3,-2.03,12.91,0.156,100,False
"3 edges: confounding, mediatio",2,confounding+mediation,,3,ORACLE,False,3.81,-6.75,14.41,0.482,120,False
"4 edges: IV, diamond, diamondc",2,IV+diamond+diamondcut+frontdoor,,4,ORACLE,False,9.61,4.41,15.16,0.001,230,True
5 edges: arrowhead,2,arrowhead,,5,ORACLE,True,-4.05,-21.27,13.02,0.6775,40,False
3 nodes (5 families),3,chain+collision+confounding+fork+mediation,3,,ORACLE,False,4.51,-1.99,11.3,0.1835,220,False
4 nodes (5 families),3,IV+arrowhead+diamond+diamondcut+frontdoor,4,,ORACLE,True,7.02,1.52,12.56,0.016,270,False
"4 nodes, without arrowhead",4,IV+diamond+diamondcut+frontdoor,4,,ORACLE,False,9.61,4.41,15.16,0.001,230,not in correction family
