model,lexicon,f1,f1_over_random_floor,spurious_edges,reversed,reversed_on_spurious,percent_of_way_to_knowledge,pct_items_with_reversal
gpt-4.1-nano,KEEP,0.462,0.1,1.77,0.069,0.039,7.1,6.3
gpt-4.1-nano,PERMUTE,0.384,0.022,1.75,0.351,0.2,36.3,28.7
gpt-4.1-nano,SYMBOL,0.509,0.146,2.06,0.155,0.075,16.1,13.8
gpt-4.1-nano,PSEUDO,0.438,0.076,1.72,0.115,0.067,11.9,10.9
gpt-4.1-mini,KEEP,0.608,0.246,2.26,0.069,0.03,7.1,6.9
gpt-4.1-mini,PERMUTE,0.424,0.062,2.27,0.529,0.233,54.8,39.1
gpt-4.1-mini,SYMBOL,0.508,0.145,1.96,0.092,0.047,9.5,8.0
gpt-4.1-mini,PSEUDO,0.505,0.143,1.95,0.109,0.056,11.3,9.2
gpt-4.1,KEEP,0.565,0.202,2.09,0.046,0.022,4.8,4.6
gpt-4.1,PERMUTE,0.406,0.043,1.84,0.316,0.172,32.7,24.7
gpt-4.1,SYMBOL,0.502,0.14,1.98,0.126,0.064,13.1,11.5
gpt-4.1,PSEUDO,0.458,0.096,1.75,0.098,0.056,10.1,9.2
