model,query_type,KEEP,n_KEEP,PERMUTE,n_PERMUTE,SYMBOL,n_SYMBOL,PSEUDO,n_PSEUDO,roi_PERMUTE,roi_SYMBOL,roi_PSEUDO
gpt-4.1-nano,ate,81.0,21,70.8,24,83.3,24,79.2,24,10.2,-2.3,1.8
gpt-4.1-nano,backadj,53.1,32,34.4,32,46.9,32,53.1,32,18.7,6.2,0.0
gpt-4.1-nano,collider_bias,75.0,4,75.0,4,75.0,4,75.0,4,0.0,0.0,0.0
gpt-4.1-nano,correlation,91.7,24,96.0,25,84.0,25,88.0,25,-4.3,7.7,3.7
gpt-4.1-nano,det-counterfactual,55.0,20,45.0,20,55.0,20,63.2,19,10.0,0.0,-8.2
gpt-4.1-nano,ett,75.0,20,61.1,18,55.0,20,50.0,20,13.9,20.0,25.0
gpt-4.1-nano,exp_away,75.0,4,50.0,2,75.0,4,75.0,4,25.0,0.0,0.0
gpt-4.1-nano,marginal,93.5,31,68.2,22,75.9,29,78.6,28,25.3,17.6,14.9
gpt-4.1-nano,nde,50.0,2,100.0,2,100.0,2,50.0,2,-50.0,-50.0,0.0
gpt-4.1-nano,nie,66.7,9,54.5,11,87.5,8,66.7,9,12.2,-20.8,-0.0
gpt-4.1-mini,ate,68.2,22,91.3,23,78.3,23,79.2,24,-23.1,-10.1,-11.0
gpt-4.1-mini,backadj,87.5,32,87.5,32,87.5,32,84.4,32,0.0,0.0,3.1
gpt-4.1-mini,collider_bias,75.0,4,100.0,4,100.0,4,100.0,4,-25.0,-25.0,-25.0
gpt-4.1-mini,correlation,92.0,25,88.0,25,96.0,25,96.0,25,4.0,-4.0,-4.0
gpt-4.1-mini,det-counterfactual,65.0,20,75.0,20,70.0,20,65.0,20,-10.0,-5.0,0.0
gpt-4.1-mini,ett,95.0,20,83.3,18,81.0,21,94.7,19,11.7,14.0,0.3
gpt-4.1-mini,exp_away,100.0,4,100.0,4,100.0,4,50.0,4,0.0,0.0,50.0
gpt-4.1-mini,marginal,96.8,31,78.6,28,80.0,30,80.6,31,18.2,16.8,16.2
gpt-4.1-mini,nde,100.0,2,0.0,1,0.0,1,50.0,2,100.0,100.0,50.0
gpt-4.1-mini,nie,72.7,11,70.0,10,70.0,10,72.7,11,2.7,2.7,0.0
gpt-4.1,ate,90.9,22,83.3,24,79.2,24,70.8,24,7.6,11.7,20.1
gpt-4.1,backadj,84.4,32,81.2,32,78.1,32,87.5,32,3.2,6.3,-3.1
gpt-4.1,collider_bias,75.0,4,100.0,4,100.0,4,100.0,4,-25.0,-25.0,-25.0
gpt-4.1,correlation,92.0,25,96.0,25,96.0,25,96.0,25,-4.0,-4.0,-4.0
gpt-4.1,det-counterfactual,75.0,20,68.4,19,60.0,20,75.0,20,6.6,15.0,0.0
gpt-4.1,ett,85.0,20,81.0,21,75.0,20,75.0,20,4.0,10.0,10.0
gpt-4.1,exp_away,100.0,4,75.0,4,100.0,4,100.0,4,25.0,0.0,0.0
gpt-4.1,marginal,96.8,31,64.5,31,74.2,31,77.4,31,32.3,22.6,19.4
gpt-4.1,nde,50.0,2,100.0,2,100.0,2,100.0,2,-50.0,-50.0,-50.0
gpt-4.1,nie,81.8,11,63.6,11,77.8,9,45.5,11,18.2,4.0,36.3
