model,cond,so_sanh,n,delta_pp,p,y_nghia
gpt-4.1-nano,PROSE,PERMUTE - KEEP,157,-7.64,0.073,
gpt-4.1-nano,PROSE,SYMBOL - KEEP,164,-5.49,0.243,
gpt-4.1-nano,PROSE,PSEUDO - KEEP,165,1.82,0.766,
gpt-4.1-nano,PROSE,PSEUDO - SYMBOL,159,9.43,0.0107,*
gpt-4.1-nano,PROSE,SYMBOL - PERMUTE,152,3.95,0.4514,
gpt-4.1-nano,RAW,PERMUTE - KEEP,165,-7.27,0.0961,
gpt-4.1-nano,RAW,SYMBOL - KEEP,172,-15.12,0.0002,*
gpt-4.1-nano,RAW,PSEUDO - KEEP,173,-12.14,0.0038,*
gpt-4.1-nano,RAW,PSEUDO - SYMBOL,173,3.47,0.4709,
gpt-4.1-nano,RAW,SYMBOL - PERMUTE,165,-8.48,0.0541,
gpt-4.1-nano,ORACLE,PERMUTE - KEEP,153,-9.15,0.0436,*
gpt-4.1-nano,ORACLE,SYMBOL - KEEP,163,-4.91,0.243,
gpt-4.1-nano,ORACLE,PSEUDO - KEEP,162,-5.56,0.243,
gpt-4.1-nano,ORACLE,PSEUDO - SYMBOL,163,-0.61,1.0,
gpt-4.1-nano,ORACLE,SYMBOL - PERMUTE,157,5.73,0.2327,
gpt-4.1-nano,DR_k1,PERMUTE - KEEP,159,-7.55,0.0884,
gpt-4.1-nano,DR_k1,SYMBOL - KEEP,167,-6.59,0.1173,
gpt-4.1-nano,DR_k1,PSEUDO - KEEP,165,-1.21,0.8776,
gpt-4.1-nano,DR_k1,PSEUDO - SYMBOL,165,6.06,0.1742,
gpt-4.1-nano,DR_k1,SYMBOL - PERMUTE,161,1.86,0.7608,
gpt-4.1-mini,PROSE,PERMUTE - KEEP,166,-9.04,0.0135,*
gpt-4.1-mini,PROSE,SYMBOL - KEEP,166,-7.23,0.0652,
gpt-4.1-mini,PROSE,PSEUDO - KEEP,170,-2.94,0.4583,
gpt-4.1-mini,PROSE,PSEUDO - SYMBOL,167,4.19,0.1671,
gpt-4.1-mini,PROSE,SYMBOL - PERMUTE,164,1.22,0.8714,
gpt-4.1-mini,RAW,PERMUTE - KEEP,170,-12.35,0.0025,*
gpt-4.1-mini,RAW,SYMBOL - KEEP,172,-7.56,0.0241,*
gpt-4.1-mini,RAW,PSEUDO - KEEP,172,-13.37,0.0001,*
gpt-4.1-mini,RAW,PSEUDO - SYMBOL,173,-5.78,0.0525,
gpt-4.1-mini,RAW,SYMBOL - PERMUTE,171,5.26,0.1628,
gpt-4.1-mini,ORACLE,PERMUTE - KEEP,162,-1.85,0.7428,
gpt-4.1-mini,ORACLE,SYMBOL - KEEP,167,-2.99,0.4996,
gpt-4.1-mini,ORACLE,PSEUDO - KEEP,169,-2.96,0.4996,
gpt-4.1-mini,ORACLE,PSEUDO - SYMBOL,168,-0.6,1.0,
gpt-4.1-mini,ORACLE,SYMBOL - PERMUTE,164,-0.61,1.0,
gpt-4.1-mini,DR_k1,PERMUTE - KEEP,165,-6.06,0.1102,
gpt-4.1-mini,DR_k1,SYMBOL - KEEP,168,-9.52,0.009,*
gpt-4.1-mini,DR_k1,PSEUDO - KEEP,166,-10.24,0.0046,*
gpt-4.1-mini,DR_k1,PSEUDO - SYMBOL,166,-1.2,0.8318,
gpt-4.1-mini,DR_k1,SYMBOL - PERMUTE,165,-4.24,0.3368,
gpt-4.1,PROSE,PERMUTE - KEEP,172,-3.49,0.3269,
gpt-4.1,PROSE,SYMBOL - KEEP,171,0.0,1.0,
gpt-4.1,PROSE,PSEUDO - KEEP,171,-10.53,0.0051,*
gpt-4.1,PROSE,PSEUDO - SYMBOL,172,-10.47,0.0029,*
gpt-4.1,PROSE,SYMBOL - PERMUTE,172,3.49,0.3616,
gpt-4.1,RAW,PERMUTE - KEEP,169,-10.06,0.0186,*
gpt-4.1,RAW,SYMBOL - KEEP,172,-8.72,0.0135,*
gpt-4.1,RAW,PSEUDO - KEEP,170,-10.0,0.0115,*
gpt-4.1,RAW,PSEUDO - SYMBOL,172,-1.16,0.8388,
gpt-4.1,RAW,SYMBOL - PERMUTE,171,1.75,0.7493,
gpt-4.1,ORACLE,PERMUTE - KEEP,170,-8.82,0.0201,*
gpt-4.1,ORACLE,SYMBOL - KEEP,168,-8.33,0.0243,*
gpt-4.1,ORACLE,PSEUDO - KEEP,170,-6.47,0.1173,
gpt-4.1,ORACLE,PSEUDO - SYMBOL,171,1.17,0.8555,
gpt-4.1,ORACLE,SYMBOL - PERMUTE,170,0.59,1.0,
gpt-4.1,DR_k1,PERMUTE - KEEP,171,-7.02,0.0576,
gpt-4.1,DR_k1,SYMBOL - KEEP,173,-8.67,0.0107,*
gpt-4.1,DR_k1,PSEUDO - KEEP,172,-11.63,0.0012,*
gpt-4.1,DR_k1,PSEUDO - SYMBOL,171,-2.92,0.4244,
gpt-4.1,DR_k1,SYMBOL - PERMUTE,170,-1.76,0.7111,
