lexicon,cond,subset,delta_pp,ci_lo,ci_hi,p_boot,n_items,survives_BH
KEEP,DR_k1,all,-5.16,-9.9,-0.17,0.0435,197,False
KEEP,DR_k1,unchanged,-1.11,-10.74,8.89,0.848,45,False
KEEP,DR_k1,changed,-6.36,-11.73,-0.77,0.029,152,False
KEEP,DR_k2,all,-7.36,-12.1,-2.54,0.001,197,False
KEEP,DR_k2,changed,-7.36,-12.1,-2.54,0.001,197,True
KEEP,DR_k3,all,-6.9,-11.87,-1.94,0.005,198,False
KEEP,DR_k3,changed,-6.9,-11.87,-1.94,0.005,198,True
KEEP,ED_k1,all,-0.0,-4.06,4.23,0.9875,197,False
KEEP,ED_k1,unchanged,0.82,-5.19,7.1,0.7985,61,False
KEEP,ED_k1,changed,-0.37,-6.25,5.27,0.927,136,False
KEEP,ED_k2,all,-5.39,-9.85,-0.93,0.018,198,False
KEEP,ED_k2,unchanged,-3.7,-22.22,12.96,0.7235,18,False
KEEP,ED_k2,changed,-5.56,-10.09,-0.93,0.0155,180,False
KEEP,FE_k1,all,-2.11,-6.69,2.7,0.401,142,False
KEEP,FE_k1,unchanged,-7.5,-14.17,-0.62,0.035,80,False
KEEP,FE_k1,changed,4.84,-1.08,11.02,0.1135,62,False
PSEUDO,DR_k1,all,-0.5,-5.86,5.11,0.865,199,False
PSEUDO,DR_k1,unchanged,-8.15,-19.26,2.96,0.168,45,False
PSEUDO,DR_k1,changed,1.73,-4.55,7.79,0.604,154,False
PSEUDO,DR_k2,all,-2.95,-7.66,1.68,0.2205,198,False
PSEUDO,DR_k2,changed,-2.95,-7.66,1.68,0.2205,198,False
PSEUDO,DR_k3,all,-5.03,-9.8,-0.25,0.0395,199,False
PSEUDO,DR_k3,changed,-5.03,-9.8,-0.25,0.0395,199,False
PSEUDO,ED_k1,all,-0.67,-5.64,4.29,0.802,198,False
PSEUDO,ED_k1,unchanged,-5.38,-14.78,4.03,0.2675,62,False
PSEUDO,ED_k1,changed,1.47,-4.66,7.23,0.6375,136,False
PSEUDO,ED_k2,all,-3.43,-7.79,0.84,0.1175,199,False
PSEUDO,ED_k2,unchanged,-20.37,-34.26,-6.48,0.005,18,True
PSEUDO,ED_k2,changed,-1.75,-6.26,2.67,0.448,181,False
PSEUDO,FE_k1,all,-1.28,-7.46,5.01,0.697,143,False
PSEUDO,FE_k1,unchanged,-1.23,-8.64,5.76,0.7415,81,False
PSEUDO,FE_k1,changed,-1.34,-12.1,9.14,0.8295,62,False
