lexicon,families,cond,subset,delta_pp,ci_lo,ci_hi,p_boot,n_items
KEEP,all 10,DR_k1,all,-6.11,-9.92,-2.42,0.002,289
KEEP,all 10,DR_k1,unchanged (qt),4.76,-2.4,14.29,0.3225,28
KEEP,all 10,DR_k1,changed (qt),-7.28,-11.3,-3.26,0.0005,261
KEEP,all 10,DR_k2,all,-12.57,-16.78,-8.48,0.0005,289
KEEP,all 10,DR_k2,unchanged (qt),,,,,0
KEEP,all 10,DR_k2,changed (qt),-12.57,-16.78,-8.48,0.0005,289
KEEP,all 10,DR_k3,all,-13.73,-19.05,-8.65,0.0005,210
KEEP,all 10,DR_k3,unchanged (qt),,,,,0
KEEP,all 10,DR_k3,changed (qt),-13.73,-19.05,-8.65,0.0005,210
KEEP,all 10,SCRAMBLE,all,-13.8,-18.04,-9.62,0.0005,291
KEEP,all 10,SCRAMBLE,unchanged (qt),,,,,3
KEEP,all 10,SCRAMBLE,changed (qt),-13.83,-18.23,-9.61,0.0005,288
KEEP,7 with k=3,DR_k1,all,-6.35,-10.95,-1.98,0.004,210
KEEP,7 with k=3,DR_k1,unchanged (qt),4.76,-2.4,14.29,0.3225,28
KEEP,7 with k=3,DR_k1,changed (qt),-8.06,-13.19,-3.11,0.0005,182
KEEP,7 with k=3,DR_k2,all,-10.63,-15.87,-5.79,0.0005,210
KEEP,7 with k=3,DR_k2,unchanged (qt),,,,,0
KEEP,7 with k=3,DR_k2,changed (qt),-10.63,-15.87,-5.79,0.0005,210
KEEP,7 with k=3,DR_k3,all,-13.73,-19.05,-8.65,0.0005,210
KEEP,7 with k=3,DR_k3,unchanged (qt),,,,,0
KEEP,7 with k=3,DR_k3,changed (qt),-13.73,-19.05,-8.65,0.0005,210
KEEP,7 with k=3,SCRAMBLE,all,-14.07,-19.03,-9.04,0.0005,212
KEEP,7 with k=3,SCRAMBLE,unchanged (qt),,,,,0
KEEP,7 with k=3,SCRAMBLE,changed (qt),-14.07,-19.03,-9.04,0.0005,212
KEEP,7 with k=3,DR slope,all,-3.36,-5.79,-0.97,0.009,206
PSEUDO,all 10,DR_k1,all,-1.26,-5.42,2.8,0.553,292
PSEUDO,all 10,DR_k1,unchanged (qt),-7.74,-24.42,7.14,0.344,28
PSEUDO,all 10,DR_k1,changed (qt),-0.57,-4.73,3.6,0.809,264
PSEUDO,all 10,DR_k2,all,-5.31,-9.13,-1.54,0.0065,292
PSEUDO,all 10,DR_k2,unchanged (qt),,,,,0
PSEUDO,all 10,DR_k2,changed (qt),-5.31,-9.13,-1.54,0.0065,292
PSEUDO,all 10,DR_k3,all,-4.93,-9.39,-0.55,0.027,213
PSEUDO,all 10,DR_k3,unchanged (qt),,,,,0
PSEUDO,all 10,DR_k3,changed (qt),-4.93,-9.39,-0.55,0.027,213
PSEUDO,all 10,SCRAMBLE,all,-5.76,-9.3,-2.05,0.001,292
PSEUDO,all 10,SCRAMBLE,unchanged (qt),0.0,-33.33,33.33,1.0,6
PSEUDO,all 10,SCRAMBLE,changed (qt),-5.89,-9.32,-2.21,0.002,286
PSEUDO,7 with k=3,DR_k1,all,-1.8,-6.57,2.97,0.4985,213
PSEUDO,7 with k=3,DR_k1,unchanged (qt),-7.74,-24.42,7.14,0.344,28
PSEUDO,7 with k=3,DR_k1,changed (qt),-0.9,-5.95,4.05,0.719,185
PSEUDO,7 with k=3,DR_k2,all,-6.57,-11.19,-2.03,0.003,213
PSEUDO,7 with k=3,DR_k2,unchanged (qt),,,,,0
PSEUDO,7 with k=3,DR_k2,changed (qt),-6.57,-11.19,-2.03,0.003,213
PSEUDO,7 with k=3,DR_k3,all,-4.93,-9.39,-0.55,0.027,213
PSEUDO,7 with k=3,DR_k3,unchanged (qt),,,,,0
PSEUDO,7 with k=3,DR_k3,changed (qt),-4.93,-9.39,-0.55,0.027,213
PSEUDO,7 with k=3,SCRAMBLE,all,-6.34,-10.33,-2.35,0.005,213
PSEUDO,7 with k=3,SCRAMBLE,unchanged (qt),,,,,1
PSEUDO,7 with k=3,SCRAMBLE,changed (qt),-6.37,-10.61,-2.12,0.004,212
PSEUDO,7 with k=3,DR slope,all,-1.56,-3.83,0.74,0.1825,213
