lexicon,cond,subset,delta_pp,ci_lo,ci_hi,p_boot,n_items
KEEP,DR_k1,unchanged (qt),10.71,1.19,21.43,0.0335,28
KEEP,DR_k1,changed (qt),-7.79,-13.02,-2.56,0.003,169
KEEP,DR_k2,unchanged (qt),,,,,0
KEEP,DR_k2,changed (qt),-7.36,-12.1,-2.54,0.001,197
KEEP,DR_k3,unchanged (qt),,,,,0
KEEP,DR_k3,changed (qt),-6.9,-11.87,-1.94,0.005,198
PSEUDO,DR_k1,unchanged (qt),-5.36,-20.83,9.52,0.497,28
PSEUDO,DR_k1,changed (qt),0.29,-5.56,6.04,0.9345,171
PSEUDO,DR_k2,unchanged (qt),,,,,0
PSEUDO,DR_k2,changed (qt),-2.95,-7.66,1.68,0.2205,198
PSEUDO,DR_k3,unchanged (qt),,,,,0
PSEUDO,DR_k3,changed (qt),-5.03,-9.8,-0.25,0.0395,199
