group,cond,model,lexicon,n,delta_pp,p
all pooled,RAW,gpt-4.1-nano,PERMUTE,165,-7.27,0.0961
all pooled,RAW,gpt-4.1-nano,SYMBOL,172,-15.12,0.0002
all pooled,RAW,gpt-4.1-nano,PSEUDO,173,-12.14,0.0038
all pooled,RAW,gpt-4.1-mini,PERMUTE,170,-12.35,0.0025
all pooled,RAW,gpt-4.1-mini,SYMBOL,172,-7.56,0.0241
all pooled,RAW,gpt-4.1-mini,PSEUDO,172,-13.37,0.0001
all pooled,RAW,gpt-4.1,PERMUTE,169,-10.06,0.0186
all pooled,RAW,gpt-4.1,SYMBOL,172,-8.72,0.0135
all pooled,RAW,gpt-4.1,PSEUDO,170,-10.0,0.0115
all pooled,ORACLE,gpt-4.1-nano,PERMUTE,153,-9.15,0.0436
all pooled,ORACLE,gpt-4.1-nano,SYMBOL,163,-4.91,0.243
all pooled,ORACLE,gpt-4.1-nano,PSEUDO,162,-5.56,0.243
all pooled,ORACLE,gpt-4.1-mini,PERMUTE,162,-1.85,0.7428
all pooled,ORACLE,gpt-4.1-mini,SYMBOL,167,-2.99,0.4996
all pooled,ORACLE,gpt-4.1-mini,PSEUDO,169,-2.96,0.4996
all pooled,ORACLE,gpt-4.1,PERMUTE,170,-8.82,0.0201
all pooled,ORACLE,gpt-4.1,SYMBOL,168,-8.33,0.0243
all pooled,ORACLE,gpt-4.1,PSEUDO,170,-6.47,0.1173
all pooled,PROSE,gpt-4.1-nano,PERMUTE,157,-7.64,0.073
all pooled,PROSE,gpt-4.1-nano,SYMBOL,164,-5.49,0.243
all pooled,PROSE,gpt-4.1-nano,PSEUDO,165,1.82,0.766
all pooled,PROSE,gpt-4.1-mini,PERMUTE,166,-9.04,0.0135
all pooled,PROSE,gpt-4.1-mini,SYMBOL,166,-7.23,0.0652
all pooled,PROSE,gpt-4.1-mini,PSEUDO,170,-2.94,0.4583
all pooled,PROSE,gpt-4.1,PERMUTE,172,-3.49,0.3269
all pooled,PROSE,gpt-4.1,SYMBOL,171,0.0,1.0
all pooled,PROSE,gpt-4.1,PSEUDO,171,-10.53,0.0051
all pooled,DR_k1,gpt-4.1-nano,PERMUTE,159,-7.55,0.0884
all pooled,DR_k1,gpt-4.1-nano,SYMBOL,167,-6.59,0.1173
all pooled,DR_k1,gpt-4.1-nano,PSEUDO,165,-1.21,0.8776
all pooled,DR_k1,gpt-4.1-mini,PERMUTE,165,-6.06,0.1102
all pooled,DR_k1,gpt-4.1-mini,SYMBOL,168,-9.52,0.009
all pooled,DR_k1,gpt-4.1-mini,PSEUDO,166,-10.24,0.0046
all pooled,DR_k1,gpt-4.1,PERMUTE,171,-7.02,0.0576
all pooled,DR_k1,gpt-4.1,SYMBOL,173,-8.67,0.0107
all pooled,DR_k1,gpt-4.1,PSEUDO,172,-11.63,0.0012
genuinely causal,RAW,gpt-4.1-nano,PERMUTE,83,-16.87,0.0066
genuinely causal,RAW,gpt-4.1-nano,SYMBOL,84,-21.43,0.0009
genuinely causal,RAW,gpt-4.1-nano,PSEUDO,85,-16.47,0.0094
genuinely causal,RAW,gpt-4.1-mini,PERMUTE,82,-24.39,0.0001
genuinely causal,RAW,gpt-4.1-mini,SYMBOL,84,-16.67,0.0026
genuinely causal,RAW,gpt-4.1-mini,PSEUDO,84,-20.24,0.0005
genuinely causal,RAW,gpt-4.1,PERMUTE,84,-17.86,0.0026
genuinely causal,RAW,gpt-4.1,SYMBOL,85,-12.94,0.0192
genuinely causal,RAW,gpt-4.1,PSEUDO,83,-14.46,0.0075
genuinely causal,ORACLE,gpt-4.1-nano,PERMUTE,75,-5.33,0.5235
genuinely causal,ORACLE,gpt-4.1-nano,SYMBOL,78,1.28,1.0
genuinely causal,ORACLE,gpt-4.1-nano,PSEUDO,78,-3.85,0.7201
genuinely causal,ORACLE,gpt-4.1-mini,PERMUTE,77,5.19,0.5235
genuinely causal,ORACLE,gpt-4.1-mini,SYMBOL,80,-1.25,1.0
genuinely causal,ORACLE,gpt-4.1-mini,PSEUDO,81,0.0,1.0
genuinely causal,ORACLE,gpt-4.1,PERMUTE,82,-6.1,0.3593
genuinely causal,ORACLE,gpt-4.1,SYMBOL,80,-7.5,0.2632
genuinely causal,ORACLE,gpt-4.1,PSEUDO,82,-8.54,0.2478
genuinely causal,PROSE,gpt-4.1-nano,PERMUTE,80,-1.25,1.0
genuinely causal,PROSE,gpt-4.1-nano,SYMBOL,83,-3.61,0.7283
genuinely causal,PROSE,gpt-4.1-nano,PSEUDO,82,4.88,0.5847
genuinely causal,PROSE,gpt-4.1-mini,PERMUTE,80,-15.0,0.0169
genuinely causal,PROSE,gpt-4.1-mini,SYMBOL,80,-2.5,0.8036
genuinely causal,PROSE,gpt-4.1-mini,PSEUDO,82,-3.66,0.6476
genuinely causal,PROSE,gpt-4.1,PERMUTE,84,-2.38,0.8036
genuinely causal,PROSE,gpt-4.1,SYMBOL,83,-4.82,0.4807
genuinely causal,PROSE,gpt-4.1,PSEUDO,83,-10.84,0.1078
genuinely causal,DR_k1,gpt-4.1-nano,PERMUTE,79,-3.8,0.6636
genuinely causal,DR_k1,gpt-4.1-nano,SYMBOL,81,-9.88,0.1338
genuinely causal,DR_k1,gpt-4.1-nano,PSEUDO,81,2.47,0.8318
genuinely causal,DR_k1,gpt-4.1-mini,PERMUTE,79,-6.33,0.4049
genuinely causal,DR_k1,gpt-4.1-mini,SYMBOL,82,-14.63,0.0357
genuinely causal,DR_k1,gpt-4.1-mini,PSEUDO,78,-14.1,0.0433
genuinely causal,DR_k1,gpt-4.1,PERMUTE,85,-4.71,0.4807
genuinely causal,DR_k1,gpt-4.1,SYMBOL,85,-7.06,0.2101
genuinely causal,DR_k1,gpt-4.1,PSEUDO,84,-15.48,0.0146
backadj identification,RAW,gpt-4.1-nano,PERMUTE,32,15.62,0.2668
backadj identification,RAW,gpt-4.1-nano,SYMBOL,32,-21.88,0.0654
backadj identification,RAW,gpt-4.1-nano,PSEUDO,32,0.0,1.0
backadj identification,RAW,gpt-4.1-mini,PERMUTE,32,15.62,0.2266
backadj identification,RAW,gpt-4.1-mini,SYMBOL,32,3.12,1.0
backadj identification,RAW,gpt-4.1-mini,PSEUDO,32,-3.12,1.0
backadj identification,RAW,gpt-4.1,PERMUTE,32,12.5,0.4545
backadj identification,RAW,gpt-4.1,SYMBOL,32,-3.12,1.0
backadj identification,RAW,gpt-4.1,PSEUDO,32,0.0,1.0
backadj identification,ORACLE,gpt-4.1-nano,PERMUTE,32,-18.75,0.146
backadj identification,ORACLE,gpt-4.1-nano,SYMBOL,32,-6.25,0.625
backadj identification,ORACLE,gpt-4.1-nano,PSEUDO,32,0.0,1.0
backadj identification,ORACLE,gpt-4.1-mini,PERMUTE,32,0.0,1.0
backadj identification,ORACLE,gpt-4.1-mini,SYMBOL,32,0.0,1.0
backadj identification,ORACLE,gpt-4.1-mini,PSEUDO,32,-3.12,1.0
backadj identification,ORACLE,gpt-4.1,PERMUTE,32,-3.12,1.0
backadj identification,ORACLE,gpt-4.1,SYMBOL,32,-6.25,0.6875
backadj identification,ORACLE,gpt-4.1,PSEUDO,32,3.12,1.0
backadj identification,PROSE,gpt-4.1-nano,PERMUTE,32,-12.5,0.2891
backadj identification,PROSE,gpt-4.1-nano,SYMBOL,32,-9.38,0.4531
backadj identification,PROSE,gpt-4.1-nano,PSEUDO,32,0.0,1.0
backadj identification,PROSE,gpt-4.1-mini,PERMUTE,32,3.12,1.0
backadj identification,PROSE,gpt-4.1-mini,SYMBOL,32,-21.88,0.0923
backadj identification,PROSE,gpt-4.1-mini,PSEUDO,32,-3.12,1.0
backadj identification,PROSE,gpt-4.1,PERMUTE,32,0.0,1.0
backadj identification,PROSE,gpt-4.1,SYMBOL,32,18.75,0.0312
backadj identification,PROSE,gpt-4.1,PSEUDO,32,-9.38,0.375
backadj identification,DR_k1,gpt-4.1-nano,PERMUTE,32,-12.5,0.3438
backadj identification,DR_k1,gpt-4.1-nano,SYMBOL,32,0.0,1.0
backadj identification,DR_k1,gpt-4.1-nano,PSEUDO,32,0.0,1.0
backadj identification,DR_k1,gpt-4.1-mini,PERMUTE,32,0.0,1.0
backadj identification,DR_k1,gpt-4.1-mini,SYMBOL,32,-6.25,0.5
backadj identification,DR_k1,gpt-4.1-mini,PSEUDO,32,-3.12,1.0
backadj identification,DR_k1,gpt-4.1,PERMUTE,32,0.0,1.0
backadj identification,DR_k1,gpt-4.1,SYMBOL,32,-6.25,0.6875
backadj identification,DR_k1,gpt-4.1,PSEUDO,32,-6.25,0.625
rung-1 so hoc,RAW,gpt-4.1-nano,PERMUTE,50,-6.0,0.4531
rung-1 so hoc,RAW,gpt-4.1-nano,SYMBOL,56,-1.79,1.0
rung-1 so hoc,RAW,gpt-4.1-nano,PSEUDO,56,-12.5,0.0654
rung-1 so hoc,RAW,gpt-4.1-mini,PERMUTE,56,-10.71,0.0703
rung-1 so hoc,RAW,gpt-4.1-mini,SYMBOL,56,0.0,1.0
rung-1 so hoc,RAW,gpt-4.1-mini,PSEUDO,56,-8.93,0.125
rung-1 so hoc,RAW,gpt-4.1,PERMUTE,53,-11.32,0.0703
rung-1 so hoc,RAW,gpt-4.1,SYMBOL,55,-5.45,0.375
rung-1 so hoc,RAW,gpt-4.1,PSEUDO,55,-9.09,0.125
rung-1 so hoc,ORACLE,gpt-4.1-nano,PERMUTE,46,-8.7,0.2891
rung-1 so hoc,ORACLE,gpt-4.1-nano,SYMBOL,53,-13.21,0.0654
rung-1 so hoc,ORACLE,gpt-4.1-nano,PSEUDO,52,-11.54,0.146
rung-1 so hoc,ORACLE,gpt-4.1-mini,PERMUTE,53,-13.21,0.0391
rung-1 so hoc,ORACLE,gpt-4.1-mini,SYMBOL,55,-7.27,0.2188
rung-1 so hoc,ORACLE,gpt-4.1-mini,PSEUDO,56,-7.14,0.2188
rung-1 so hoc,ORACLE,gpt-4.1,PERMUTE,56,-16.07,0.0117
rung-1 so hoc,ORACLE,gpt-4.1,SYMBOL,56,-10.71,0.0703
rung-1 so hoc,ORACLE,gpt-4.1,PSEUDO,56,-8.93,0.125
rung-1 so hoc,PROSE,gpt-4.1-nano,PERMUTE,45,-15.56,0.0654
rung-1 so hoc,PROSE,gpt-4.1-nano,SYMBOL,49,-6.12,0.4531
rung-1 so hoc,PROSE,gpt-4.1-nano,PSEUDO,51,-1.96,1.0
rung-1 so hoc,PROSE,gpt-4.1-mini,PERMUTE,54,-7.41,0.2891
rung-1 so hoc,PROSE,gpt-4.1-mini,SYMBOL,54,-5.56,0.4531
rung-1 so hoc,PROSE,gpt-4.1-mini,PSEUDO,56,-1.79,1.0
rung-1 so hoc,PROSE,gpt-4.1,PERMUTE,56,-7.14,0.2188
rung-1 so hoc,PROSE,gpt-4.1,SYMBOL,56,-3.57,0.625
rung-1 so hoc,PROSE,gpt-4.1,PSEUDO,56,-10.71,0.0703
rung-1 so hoc,DR_k1,gpt-4.1-nano,PERMUTE,48,-10.42,0.2266
rung-1 so hoc,DR_k1,gpt-4.1-nano,SYMBOL,54,-5.56,0.5488
rung-1 so hoc,DR_k1,gpt-4.1-nano,PSEUDO,52,-7.69,0.3877
rung-1 so hoc,DR_k1,gpt-4.1-mini,PERMUTE,54,-9.26,0.125
rung-1 so hoc,DR_k1,gpt-4.1-mini,SYMBOL,54,-3.7,0.625
rung-1 so hoc,DR_k1,gpt-4.1-mini,PSEUDO,56,-8.93,0.125
rung-1 so hoc,DR_k1,gpt-4.1,PERMUTE,54,-14.81,0.0215
rung-1 so hoc,DR_k1,gpt-4.1,SYMBOL,56,-12.5,0.0391
rung-1 so hoc,DR_k1,gpt-4.1,PSEUDO,56,-8.93,0.125
