quantity,estimate_pp,ci_lo_min,ci_lo_max,ci_hi_min,ci_hi_max,p_min,p_max,verdict_stable
headline DiD (RAW),5.980707395498392,1.67,1.82,10.19,10.33,0.005,0.0075,True
"headline DiD, RAW_CLEAN, no det-cf",5.369718309859155,0.08,0.36,10.3,10.62,0.0345,0.05,False
n600 ladder KEEP -> IRRELEVANT,14.988290398126464,10.36,10.56,19.53,19.79,0.0005,0.0005,True
n600 ladder IRRELEVANT -> PERMUTE,-0.8274231678486997,-4.61,-4.39,2.7,2.82,0.6695,0.6935,True
n600 ladder IRRELEVANT -> SYMBOL,-3.755868544600939,-6.99,-6.78,-0.82,-0.58,0.0145,0.022,True
n600 PSEUDO ORACLE minus NAMES_ONLY,4.342581423401689,0.12,0.24,8.45,8.64,0.0445,0.0485,True
n600 PSEUDO NAMES_ONLY minus RAW,2.491103202846975,0.0,0.12,4.93,5.18,0.0485,0.056,False
n600 KEEP SCRAMBLE minus NAMES_ONLY,-13.947696139476962,-17.92,-17.76,-10.29,-10.14,0.0005,0.0005,True
n600 KEEP DR_k3 minus DR_k2,-2.3255813953488373,-6.54,-6.33,1.83,1.96,0.2885,0.318,True
"conditional slope, pooled, KEEP",-1.8166089965397925,-3.86,-3.78,0.12,0.23,0.068,0.0805,True
"conditional slope, n600 minus price400, KEEP",-3.734470631223166,-7.61,-7.49,-0.04,0.4,0.047,0.0735,False
"conditional slope, pooled, PSEUDO",-1.807909604519774,-3.71,-3.62,-0.01,0.07,0.0495,0.0605,False
"conditional slope, n600 minus price400, PSEUDO",0.100672962118745,-3.52,-3.33,3.63,3.71,0.9305,0.972,True
Llama pooled DiD,7.238095238095238,1.49,1.7,13.03,13.23,0.0115,0.015,True
"Llama lift, PSEUDO ORACLE minus RAW",3.9927404718693285,-0.71,-0.54,8.44,8.63,0.0885,0.1035,True
"Llama drag, KEEP ORACLE minus RAW",-3.512014787430684,-7.14,-6.99,-0.18,0.18,0.049,0.064,False
R1 PSEUDO ORACLE minus RAW,12.82051282051282,1.28,2.56,23.08,24.36,0.027,0.0335,True
R1 PSEUDO ORACLE minus DR_k1,22.666666666666664,12.0,12.0,33.33,34.67,0.0005,0.0005,True
R1 PSEUDO re-asked ORACLE minus RAW,15.11627906976744,4.65,5.81,25.58,26.74,0.0005,0.008,True
R1 PSEUDO re-asked ORACLE minus DR_k1,23.25581395348837,12.79,13.95,32.56,33.72,0.0005,0.0005,True
four edges minus the rest,8.177257525083611,-0.17,0.22,16.53,16.75,0.0445,0.0565,False
