quantity,estimate_pp,ci_lo,ci_hi,p_boot,n_items,sample
DiD | ORACLE,5.98,1.67,10.19,0.0055,490,pooled
DiD | PROSE,5.55,2.1,8.87,0.0015,494,pooled
DiD | DR_k1,4.78,0.66,8.93,0.022,492,pooled
ORACLE minus DR_k1,1.49,-1.86,5.01,0.4105,486,pooled
ORACLE minus PROSE,0.66,-2.65,4.01,0.714,489,pooled
"lift, anonymised branch",5.12,1.55,8.65,0.0055,496,pooled
"drag, KEEP branch",-0.5,-3.43,2.36,0.7395,495,pooled
DiD | ORACLE | lex,12.71,2.57,22.98,0.018,85,lex
DiD | PROSE | lex,13.99,5.6,21.99,0.0015,85,lex
DiD | DR_k1 | lex,6.28,-2.14,14.96,0.178,85,lex
DiD | ORACLE | n600,6.78,1.65,12.08,0.009,287,n600
DiD | PROSE | n600,5.45,1.32,9.59,0.0095,290,n600
DiD | DR_k1 | n600,4.65,-0.51,9.89,0.085,288,n600
DiD | ORACLE | price400,1.72,-5.27,8.27,0.6395,195,price400
DiD | PROSE | price400,1.99,-3.59,7.43,0.4875,198,price400
DiD | DR_k1 | price400,4.28,-2.56,11.41,0.2285,196,price400
DiD | DR_k2 | price400,5.86,-0.57,12.26,0.079,195,price400
ORACLE minus DR_k2 | price400,-3.29,-9.34,2.73,0.2935,192,price400
DiD | DR_k3 | price400,1.76,-4.59,8.12,0.6205,193,price400
ORACLE minus DR_k3 | price400,-1.46,-7.9,4.76,0.6805,190,price400
