model,dieu_kien,n,delta_pp,p,meaning
gpt-4.1-nano,ORACLE,135,2.22,0.8601,
gpt-4.1-nano,ED_k1,137,-2.0,1.0,
gpt-4.1-nano,ED_k2,133,-5.99,0.2005,
gpt-4.1-nano,ED_k3,134,-4.18,0.405,
gpt-4.1-nano,FE_k1,98,0.64,1.0,
gpt-4.1-nano,FE_k2,77,1.06,1.0,
gpt-4.1-nano,DR_k1,135,-2.16,0.7359,
gpt-4.1-nano,DR_k2,132,-4.52,0.3771,
gpt-4.1-nano,DR_k3,136,-4.73,0.281,
gpt-4.1-mini,ORACLE,137,4.79,0.2649,
gpt-4.1-mini,ED_k1,139,4.96,0.2863,
gpt-4.1-mini,ED_k2,137,-0.84,1.0,
gpt-4.1-mini,ED_k3,137,-0.84,0.7744,
gpt-4.1-mini,FE_k1,97,5.8,0.4049,
gpt-4.1-mini,FE_k2,78,1.83,0.6636,
gpt-4.1-mini,DR_k1,135,-2.83,0.6636,
gpt-4.1-mini,DR_k2,137,-4.41,0.3449,
gpt-4.1-mini,DR_k3,137,-5.84,0.1221,
gpt-4.1,ORACLE,140,7.29,0.0639,
gpt-4.1,ED_k1,143,6.9,0.0784,
gpt-4.1,ED_k2,144,-1.93,0.6476,
gpt-4.1,ED_k3,140,0.32,1.0,
gpt-4.1,FE_k1,102,-2.26,1.0,
gpt-4.1,FE_k2,81,3.12,0.2379,
gpt-4.1,DR_k1,140,2.44,0.5413,
gpt-4.1,DR_k2,143,-4.83,0.2295,
gpt-4.1,DR_k3,143,-4.29,0.2863,
