model,dieu_kien,n,delta_pp,p,meaning
gpt-4.1-nano,ORACLE,363,1.92,0.8454,
gpt-4.1-nano,ED_k1,375,-2.81,0.3634,
gpt-4.1-nano,ED_k2,378,-2.65,0.3112,
gpt-4.1-nano,ED_k3,379,-4.64,0.0928,
gpt-4.1-nano,FE_k1,267,-4.59,0.0567,
gpt-4.1-nano,FE_k2,213,-5.55,0.098,
gpt-4.1-nano,DR_k1,376,-2.82,0.4153,
gpt-4.1-nano,DR_k2,358,-4.28,0.1253,
gpt-4.1-nano,DR_k3,369,-4.73,0.0544,
gpt-4.1-mini,ORACLE,382,10.74,0.0002,*
gpt-4.1-mini,ED_k1,390,9.18,0.0004,*
gpt-4.1-mini,ED_k2,395,4.04,0.0748,
gpt-4.1-mini,ED_k3,389,3.51,0.1539,
gpt-4.1-mini,FE_k1,278,10.14,0.0005,*
gpt-4.1-mini,FE_k2,223,7.91,0.0103,*
gpt-4.1-mini,DR_k1,381,3.71,0.1074,
gpt-4.1-mini,DR_k2,386,-1.68,0.4999,
gpt-4.1-mini,DR_k3,384,-3.06,0.1702,
gpt-4.1,ORACLE,388,9.87,0.0002,*
gpt-4.1,ED_k1,388,3.24,0.3082,
gpt-4.1,ED_k2,389,0.0,0.9088,
gpt-4.1,ED_k3,384,-0.57,0.7239,
gpt-4.1,FE_k1,275,8.57,0.0031,*
gpt-4.1,FE_k2,222,5.01,0.0331,*
gpt-4.1,DR_k1,388,1.12,1.0,
gpt-4.1,DR_k2,386,-0.16,0.8264,
gpt-4.1,DR_k3,385,-3.66,0.0535,
