query_group,sample,lexicon,cond,delta_pp,ci_lo,ci_hi,p_boot,n_items,survives_BH
causal,lex,KEEP,ORACLE,-5.04,-12.4,2.33,0.1825,86,False
causal,lex,KEEP,PROSE,-3.73,-9.8,2.55,0.2435,85,False
causal,lex,KEEP,DR_k1,-8.72,-15.5,-2.13,0.0085,86,True
backadj,lex,KEEP,ORACLE,33.33,20.83,46.87,0.0005,32,True
backadj,lex,KEEP,PROSE,21.88,10.42,33.33,0.0005,32,True
backadj,lex,KEEP,DR_k1,11.46,-6.25,29.17,0.2205,32,False
rung1_arith,lex,KEEP,ORACLE,0.6,-1.19,2.38,0.794,56,False
rung1_arith,lex,KEEP,PROSE,-0.6,-2.98,1.79,0.8215,56,False
rung1_arith,lex,KEEP,DR_k1,-1.19,-4.17,1.79,0.5825,56,False
causal,lex,PSEUDO,ORACLE,7.75,-0.39,16.09,0.0645,86,False
causal,lex,PSEUDO,PROSE,9.69,2.33,17.25,0.009,86,True
causal,lex,PSEUDO,DR_k1,-0.58,-8.14,7.17,0.873,86,False
backadj,lex,PSEUDO,ORACLE,34.37,23.96,44.79,0.0005,32,True
backadj,lex,PSEUDO,PROSE,18.75,6.25,31.25,0.0045,32,True
backadj,lex,PSEUDO,DR_k1,9.38,-7.29,26.04,0.294,32,False
rung1_arith,lex,PSEUDO,ORACLE,1.79,-3.57,7.74,0.544,56,False
rung1_arith,lex,PSEUDO,PROSE,4.76,0.6,8.93,0.027,56,False
rung1_arith,lex,PSEUDO,DR_k1,0.3,-4.76,5.36,0.9245,56,False
causal,n600,KEEP,ORACLE,-0.17,-3.79,3.33,0.906,290,False
causal,n600,KEEP,PROSE,0.86,-2.07,3.97,0.567,290,False
causal,n600,KEEP,DR_k1,-6.11,-9.92,-2.42,0.002,289,True
backadj,n600,KEEP,ORACLE,38.05,30.3,45.79,0.0005,99,True
backadj,n600,KEEP,PROSE,23.91,17.17,30.64,0.0005,99,True
backadj,n600,KEEP,DR_k1,20.2,11.11,28.96,0.0005,99,True
rung1_arith,n600,KEEP,ORACLE,0.0,-1.41,1.41,1.0,189,False
rung1_arith,n600,KEEP,PROSE,-0.71,-2.12,0.71,0.3845,189,False
rung1_arith,n600,KEEP,DR_k1,0.88,-0.71,2.47,0.303,189,False
causal,n600,PSEUDO,ORACLE,6.3,1.95,10.77,0.0055,291,True
causal,n600,PSEUDO,PROSE,6.56,2.74,10.39,0.0005,292,True
causal,n600,PSEUDO,DR_k1,-1.26,-5.42,2.8,0.553,292,False
backadj,n600,PSEUDO,ORACLE,43.77,36.36,51.18,0.0005,99,True
backadj,n600,PSEUDO,PROSE,26.26,19.53,33.33,0.0005,99,True
backadj,n600,PSEUDO,DR_k1,22.73,14.31,30.81,0.0005,99,True
rung1_arith,n600,PSEUDO,ORACLE,-0.35,-3.09,2.56,0.81,189,False
rung1_arith,n600,PSEUDO,PROSE,0.18,-2.03,2.56,0.898,189,False
rung1_arith,n600,PSEUDO,DR_k1,-0.18,-2.2,1.85,0.891,189,False
causal,price400,KEEP,ORACLE,-0.08,-4.63,4.55,0.9645,198,False
causal,price400,KEEP,PROSE,0.0,-3.45,3.62,1.0,198,False
causal,price400,KEEP,DR_k1,-5.16,-9.9,-0.17,0.0435,197,False
causal,price400,KEEP,DR_k2,-7.36,-12.1,-2.54,0.001,197,True
causal,price400,KEEP,DR_k3,-6.9,-11.87,-1.94,0.005,198,True
causal,price400,KEEP,ED_k1,-0.0,-4.06,4.23,0.9875,197,False
causal,price400,KEEP,ED_k2,-5.39,-9.85,-0.93,0.018,198,False
causal,price400,KEEP,ED_k3,-1.43,-5.3,2.44,0.4835,198,False
